filename,labels
CR3-1 1-side pit BF005.jpg,moderate
CR3-1 1-side pit BF006.jpg,moderate
CR3-1 1-side pit BF007.jpg,moderate
CR3-1 1-side pit DF001.jpg,moderate
CR3-1 c-side pit BF001.jpg,moderate
cr3-1 initiation pit birdseye view001.jpg,moderate
cr3-1 initiation pit birdseye view002.jpg,moderate
cr3-1 initiation pit birdseye view003.jpg,moderate
cr3-1 initiation pit birdseye view004.jpg,moderate
cr3-1 initiation pit sideview001.jpg,moderate
cr3-1 initiation pit sideview002.jpg,moderate
cr3-3 3-side_DF001.jpg,moderate
cr3-3 3-side001.jpg,moderate
cr3-3 ci-side_DF001.jpg,moderate
cr3-3 ci-side_DF002.jpg,moderate
cr3-3 ci-side006.jpg,moderate
cr3-3 ci-side008.jpg,moderate
cr3-3 ci-side009.jpg,moderate
cr3-3 ci-side010.jpg,moderate
cr3-7 7 side overview001.jpg,severe
cr3-7 c side overview001.jpg,severe
cr3-7 c side overview003.jpg,severe
CR3-7 c-side BF001.jpg,severe
CR3-7 c-side BF002.jpg,severe
CR3-7 c-side BF003.jpg,severe
CR3-7 c-side BF004.jpg,severe
CR3-7 c-side BF005.jpg,severe
CR3-7 c-side BF006.jpg,severe
CR3-7 c-side BF007.jpg,severe
CR3-7 c-side BF008.jpg,severe
CR3-7 c-side BF009.jpg,severe
cr3-8 8 side overview001.jpg,severe
cr3-8 8 side overview002.jpg,severe
cr3-8 8 side overview003.jpg,severe
cr3-8 8 side overview004.jpg,severe
cr3-8 8 side overview005.jpg,severe
cr3-8 8 side overview006.jpg,severe
cr3-8 c side overview001.jpg,severe
cr3-8 c side overview002.jpg,severe
cr3-8 c side overview003.jpg,severe
cr3-8 c side overview004.jpg,severe
CR3-8 c8-side pit001.jpg,severe
CR3-8 c8-side pit002.jpg,severe
CR3-8 c8-side pit003.jpg,severe
CR3-8 c8-side pit004.jpg,severe
CR3-8 c8-side pit005.jpg,severe
CR3-8 c-side pit001.jpg,severe
CR3-8 c-side pit002.jpg,severe
CR3-8 c-side pit003.jpg,severe
CR3-8 c-side pit004.jpg,severe
CR3-8 c-side pit005.jpg,severe
CR3-8 c-side pit006.jpg,severe
cr3-9 9 side overview001.jpg,severe
cr3-9 9 side overview002.jpg,severe
cr3-9 9 side overview003.jpg,severe
cr3-9 9 side overview004.jpg,severe
CR3-9 9-side pit001.jpg,severe
CR3-9 9-side pit002.jpg,severe
CR3-9 9-side pit003.jpg,severe
CR3-9 9-side pit004.jpg,severe
CR3-9 9-side pit005.jpg,severe
CR3-9 9-side pit006.jpg,severe
cr3-9 c side overview001.jpg,severe
cr3-9 c side overview002.jpg,severe
cr3-9 c side overview003.jpg,severe
cr3-9 c side overview004.jpg,severe
CR3-9 c-side pit001.jpg,severe
CR3-9 c-side pit002.jpg,severe
CR3-9 c-side pit003.jpg,severe
CR3-9 c-side pit004.jpg,severe
CR3-9 c-side pit005.jpg,severe
CR3-1 1-side pit BF001.jpg,moderate
